Latitude,Longitude,From Station Name,Count of Trips
41.892278,-87.612043,Streeter Dr & Grand Ave,21468
41.880958,-87.616743,Lake Shore Dr & Monroe St,17508
41.884728,-87.619521,Columbus Dr & Randolph St,16613
41.90096,-87.623777,Michigan Ave & Oak St,11616
41.881032,-87.624084,Millennium Park,11124
41.883984,-87.624684,Michigan Ave & Washington St,15484
41.911722,-87.626804,Lake Shore Dr & North Blvd,10231
41.884241,-87.629634,Daley Center Plaza,12988
41.926277,-87.630834,Theater on the Lake,10972
41.880317,-87.635185,Franklin St & Monroe St,13909
41.889177,-87.638506,Kingsbury St & Kinzie St,13245
41.882091,-87.639833,Canal St & Madison St,13750
41.879255,-87.639904,Canal St & Adams St,21264
41.882242,-87.641066,Clinton St & Madison St,20148
41.88338,-87.64117,Clinton St & Washington Blvd,21348
