Year,Chain,Store_Count
2002,Sprouts,1
2005,Sprouts,5
2008,Sprouts,20
2010,Sprouts,40
2012,Sprouts,90
2013,Sprouts,157
2015,Sprouts,204
2017,Sprouts,280
2018,Sprouts,313
2019,Sprouts,340
2020,Sprouts,362
2021,Sprouts,374
2022,Sprouts,382
2023,Sprouts,407
2024,Sprouts,487
2002,Trader Joes,140
2005,Trader Joes,200
2008,Trader Joes,290
2010,Trader Joes,350
2012,Trader Joes,400
2013,Trader Joes,430
2015,Trader Joes,474
2017,Trader Joes,495
2018,Trader Joes,503
2019,Trader Joes,510
2020,Trader Joes,530
2021,Trader Joes,560
2022,Trader Joes,590
2023,Trader Joes,610
2024,Trader Joes,637
2002,Whole Foods,130
2005,Whole Foods,175
2008,Whole Foods,270
2010,Whole Foods,300
2012,Whole Foods,335
2013,Whole Foods,362
2015,Whole Foods,431
2017,Whole Foods,479
2018,Whole Foods,493
2019,Whole Foods,500
2020,Whole Foods,510
2021,Whole Foods,511
2022,Whole Foods,527
2023,Whole Foods,537
2024,Whole Foods,550
