Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number,chain,zip,NAME,median_income,total_population,median_age,pop_25plus,bachelors,masters,doctorate,college_plus,college_plus_pct
Birmingham,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,205-263-2808,Sprouts,,,,,,,,,,,
Hoover,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,205-263-4970,Sprouts,,,,,,,,,,,
Huntsville – Madison,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,256-203-8334,Sprouts,,,,,,,,,,,
Avondale,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,623-535-8989,Sprouts,,,,,,,,,,,
Cave Creek,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-637-4699,Sprouts,,,,,,,,,,,
Chandler – Gilbert Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-781-0088,Sprouts,,,,,,,,,,,
Chandler – Ray Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-732-1012,Sprouts,,,,,,,,,,,
Flagstaff,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-679-6000,Sprouts,,,,,,,,,,,
Gilbert-Higley Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-652-3524,Sprouts,,,,,,,,,,,
Gilbert,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-821-1511,Sprouts,,,,,,,,,,,
Sahuarita,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-729-3370,Sprouts,,,,,,,,,,,
Laveen,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-210-4896,Sprouts,,,,,,,,,,,
Maricopa – John Wayne Pkwy. & Edison Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-532-1093,Sprouts,,,,,,,,,,,
Mesa – Baseline Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-401-3758,Sprouts,,,,,,,,,,,
Mesa – Brown Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-668-0800,Sprouts,,,,,,,,,,,
Mesa – Recker,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-401-3870,Sprouts,,,,,,,,,,,
Mesa-Signal Butte,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-586-3710,Sprouts,,,,,,,,,,,
Oro Valley,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-297-5446,Sprouts,,,,,,,,,,,
Peoria – Happy Valley Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-385-3392,Sprouts,,,,,,,,,,,
Peoria – Thunderbird,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,623-334-1111,Sprouts,,,,,,,,,,,
Ahwatukee,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-295-4901,Sprouts,,,,,,,,,,,
Glendale – Deer Valley Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,623-385-4430,Sprouts,,,,,,,,,,,
Phoenix-99th Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,623-352-6269,Sprouts,,,,,,,,,,,
Phoenix-Carefree Hwy. & I-17,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-956-6058,Sprouts,,,,,,,,,,,
Paradise Valley,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-971-4177,Sprouts,,,,,,,,,,,
Phoenix – 7th Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-384-2650,Sprouts,,,,,,,,,,,
Phoenix – Bell Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-218-4949,Sprouts,,,,,,,,,,,
Phoenix – Glendale Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-385-2150,Sprouts,,,,,,,,,,,
Phoenix – Indian School Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-553-3131,Sprouts,,,,,,,,,,,
Phoenix – Northern Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-864-6130,Sprouts,,,,,,,,,,,
