Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number
Traderjoes,737,Shopping List,"205 Summit Blvd, Suite 100",Birmingham,AL,35243,205-969-7801
Traderjoes,838,Shopping List,1769 Montgomery Hwy,Hoover,AL,35244,205-202-7715
Traderjoes,785,Shopping List,1100 Mid City Dr NW,Huntsville,AL,35806,256-890-7156
Traderjoes,756,Shopping List,11500 Financial Centre Pky,Little Rock,AR,72211,501-954-7659
Traderjoes,287,Shopping List,3961 S Arizona Ave,Chandler,AZ,85248,520-453-3452
Traderjoes,285,Shopping List,1779 E. Williams Field Rd.,Gilbert,AZ,85295,480-857-9878
Traderjoes,85,Shopping List,8078 W Bell Rd,Glendale,AZ,85308,928-397-9921
Traderjoes,289,Shopping List,N Bullard Ave & McDowell Rd,Goodyear,AZ,85395,480-712-6645
Traderjoes,89,Shopping List,2050 E Baseline Rd,Mesa,AZ,85204,480-632-0951
Traderjoes,96,Shopping List,7912 N Oracle,Oro Valley,AZ,85704,520-797-4207
Traderjoes,177,Shopping List,"4025 E Chandler Blvd, Ste 38",Phoenix,AZ,85048,480-759-2293
Traderjoes,282,Shopping List,4726 East Shea Blvd,Phoenix,AZ,85028,602-485-7788
Traderjoes,90,Shopping List,4821 N 20th St,Phoenix,AZ,85016,602-912-9022
Traderjoes,283,Shopping List,252 N Lee Blvd,Prescott,AZ,86303,928-443-9075
Traderjoes,286,Shopping List,21186 S. Ellsworth Loop Rd,Queen Creek,AZ,85142,480-877-7213
Traderjoes,87,Shopping List,7555 E Frank Lloyd Wright,Scottsdale,AZ,85260,480-367-8920
Traderjoes,94,Shopping List,6202 N Scottsdale Rd,Scottsdale,AZ,85253,480-948-9886
Traderjoes,92,Shopping List,14095 W Grand Ave,Surprise,AZ,85374,623-546-1640
Traderjoes,91,Shopping List,940 E. University Drive,Tempe,AZ,85281,480-303-9974
Traderjoes,93,Shopping List,6460 S McClintock Dr,Tempe,AZ,85283,480-838-4142
Traderjoes,191,Shopping List,4209 N Campbell Ave,Tucson,AZ,85719,520-325-0069
Traderjoes,288,Shopping List,2150 E Broadway Blvd,Tucson,AZ,85719,
Traderjoes,88,Shopping List,4766 E Grant Rd,Tucson,AZ,85712,520-323-4500
Traderjoes,95,Shopping List,"1101 N Wilmot Rd, Ste 147",Tucson,AZ,85712,520-733-1313
Traderjoes,247,Shopping List,28941 Canwood St,Agoura Hills,CA,91301,818-865-8217
Traderjoes,109,Shopping List,2217 South Shore Ctr,Alameda,CA,94501,510-769-5450
Traderjoes,195,Shopping List,26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531
Traderjoes,295,Shopping List,6336 E Santa Ana Canyon Rd,Anaheim Hills,CA,92807,
Traderjoes,117,Shopping List,955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114
Traderjoes,14,Shopping List,"8200 Stockdale Hwy, #C21",Bakersfield,CA,93311,661-837-8863
Traderjoes,186,Shopping List,1885 University Ave,Berkeley,CA,94703,510-204-9074
Traderjoes,11,Shopping List,2500 E Imperial Hwy,Brea,CA,92821,714-257-1180
Traderjoes,201,Shopping List,5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044
Traderjoes,124,Shopping List,214 E Alameda Ave,Burbank,CA,91502,818-848-4299
Traderjoes,254,Shopping List,23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758
Traderjoes,114,Shopping List,363 Carmen Dr,Camarillo,CA,93010,805-388-1925
Traderjoes,73,Shopping List,1875 Bascom Ave,Campbell,CA,95008,408-369-7823
Traderjoes,64,Shopping List,"3555 Clares St, #D",Capitola,CA,95010,831-464-0115
Traderjoes,220,Shopping List,2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473
Traderjoes,84,Shopping List,22224 Redwood Road,Castro Valley,CA,94546,510-538-2738
Traderjoes,118,Shopping List,67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090
Traderjoes,104,Shopping List,12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148
Traderjoes,184,Shopping List,10330 Mason Ave,Chatsworth,CA,91311,818-341-3010
Traderjoes,199,Shopping List,"801 East Ave, Ste 110",Chico,CA,95926,530-343-9920
Traderjoes,216,Shopping List,13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404
Traderjoes,120,Shopping List,"878 Eastlake Pkwy, Ste 810",Chula Vista,CA,91914,619-656-5370
Traderjoes,214,Shopping List,475 W Foothill Blvd,Claremont,CA,91711,909-625-8784
Traderjoes,180,Shopping List,1077 N Willow Ave,Clovis,CA,93611,559-325-3120
Traderjoes,60,Shopping List,1150 Concord Ave,Concord,CA,94520,925-689-2990
Traderjoes,83,Shopping List,785 Oak Grove Rd,Concord,CA,94518,925-521-1134
Traderjoes,213,Shopping List,2790 Cabot Dr,Corona,CA,92883,951-603-0299
Traderjoes,290,Shopping List,"2170 Harbor Blvd, Ste 100",Costa Mesa,CA,92627,949-208-7420
Traderjoes,35,Shopping List,640 W 17th St,Costa Mesa,CA,92627,949-642-5134
Traderjoes,251,Shopping List,6150 Slauson Ave,Culver City,CA,90230,310-313-0441
Traderjoes,36,Shopping List,9290 Culver Blvd,Culver City,CA,90232,310-202-1108
Traderjoes,242,Shopping List,5245 Katella Ave.,Cypress,CA,90720,714-220-4930
Traderjoes,74,Shopping List,417 Westlake Center,Daly City,CA,94015,650-755-3825
Traderjoes,65,Shopping List,85 Railroad Ave,Danville,CA,94526,925-838-5757
Traderjoes,182,Shopping List,885 Russell Blvd,Davis,CA,95616,530-757-2693
Traderjoes,55,Shopping List,1566 Colorado Blvd,Eagle Rock,CA,90041,323-257-6422
Traderjoes,108,Shopping List,225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609
Traderjoes,190,Shopping List,9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980
Traderjoes,72,Shopping List,5700 Christie Ave,Emeryville,CA,94608,510-658-8091
Traderjoes,25,Shopping List,"115 N El Camino Real, Ste A",Encinitas,CA,92024,760-634-2114
Traderjoes,56,Shopping List,17640 Burbank Blvd,Encino,CA,91316,818-990-7751
Traderjoes,105,Shopping List,1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020
Traderjoes,71,Shopping List,5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744
Traderjoes,101,Shopping List,"1350 Gateway Blvd, Ste A1-A7",Fairfield,CA,94533,707-434-0144
Traderjoes,172,Shopping List,850 East Bidwell,Folsom,CA,95630,916-817-8820
Traderjoes,77,Shopping List,39324 Argonaut Way,Fremont,CA,94538,510-794-1386
Traderjoes,8,Shopping List,8478 N. Friant Road,Fresno,CA,93720,559-433-6478
Traderjoes,53,Shopping List,103 E Glenoaks Blvd,Glendale,CA,91207,818-507-8192
Traderjoes,110,Shopping List,5767 Calle Real,Goleta,CA,93117,805-692-2234
Traderjoes,44,Shopping List,11114 Balboa Blvd,Granada Hills,CA,91344,818-368-6461
Traderjoes,235,Shopping List,2052 Redwood Hwy,Greenbrae,CA,94904,415-945-7955
Traderjoes,248,Shopping List,1100 Pacific Coast Hwy,Hermosa Beach,CA,90254,310-318-1767
Traderjoes,241,Shopping List,21431 Brookhurst St,Huntington Beach,CA,92646,714-968-4070
Traderjoes,244,Shopping List,16821 Algonquin St,Huntington Beach,CA,92649,714-846-7307
Traderjoes,47,Shopping List,18681 Main St,Huntington Beach,CA,92648,714-848-9640
Traderjoes,111,Shopping List,4225 Campus Dr,Irvine,CA,92612,949-509-6138
Traderjoes,210,Shopping List,6222 Irvine Blvd,Irvine,CA,92620,949-551-6402
Traderjoes,37,Shopping List,14443 Culver Dr,Irvine,CA,92604,949-857-8108
Traderjoes,42,Shopping List,475 Foothill Blvd,La Canada,CA,91011,818-790-6373
Traderjoes,5,Shopping List,"2101 W. Imperial Hwy, Suite A",La Habra,CA,90631,562-266-1428
Traderjoes,20,Shopping List,8657 Villa la Jolla Dr,La Jolla,CA,92037,858-546-8629
Traderjoes,24,Shopping List,5495 Grossmont Center Dr,La Mesa,CA,91942,619-466-0105
Traderjoes,189,Shopping List,46400 Washington St,La Quinta,CA,92253,760-777-1553
Traderjoes,277,Shopping List,2330 Foothill Blvd,La Verne,CA,91750,909-901-4568
Traderjoes,257,Shopping List,27542 Antonio Pkwy,Ladera Ranch,CA,92694,949-239-6429
Traderjoes,115,Shopping List,3649 Mt Diablo Blvd,Lafayette,CA,94549,925-299-9344
