Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number
Whole Foods Market,birmingham,,3100 Cahaba Village Plaza,Birmingham,AL,35243,+1 205-912-8400
Whole Foods Market,huntsville,,2501 Memorial Parkway Southwest,Huntsville,AL,35801,+1 256-801-3741
Whole Foods Market,,,Halcyon Forest Trail,Montgomery,AL,36117,
Whole Foods Market,fayetteville,,3425 North College Avenue,Fayetteville,AR,72703,+1 479-695-5561
Whole Foods Market,bowman,,501 Bowman Road,Little Rock,AR,72211,+1 501-312-2326
Whole Foods Market,,,1801 South 46th Street,Rogers,AR,72758,
Whole Foods Market,chandler,,2955 West Ray Road,Chandler,AZ,85224,+1 480-821-9447
Whole Foods Market,flagstaff,,320 South Cambridge Lane,Flagstaff,AZ,86001,+1 928-774-5747
Whole Foods Market,camelback,,4701 North 20th Street,Phoenix,AZ,85016,+1 602-761-4750
Whole Foods Market,,,12500 North Tatum Boulevard,Phoenix,AZ,85032,+1-602-569-7600
Whole Foods Market,scottsdale,,7111 East Mayo Boulevard,Phoenix,AZ,85054,+1 480-515-3777
Whole Foods Market,,,7628 E Indian School Road,Scottsdale,AZ,85251,
Whole Foods Market,sedona,,1420 State Route 89A,Sedona,AZ,86336,+1 928-282-6311
Whole Foods Market,tempe,,750 South Ash Avenue,Tempe,AZ,85281,+1 480-456-1400
Whole Foods Market,riverroad,,5555 East River Road,Tucson,AZ,85750,+1 520-461-1300
Whole Foods Market,speedway,,3360 East Speedway Boulevard,Tucson,AZ,85716,+1 520-795-9844
Whole Foods Market,oracle,,7133 North Oracle Road,Tucson,AZ,85704,+1 520-352-0111
Whole Foods Market,berkeley,,3000 Telegraph Avenue,Berkeley,CA,94705,+1 510-649-1333
Whole Foods Market,1627736,,1025 Gilman Street,Berkeley,CA,94710,+1 510-809-8293
Whole Foods Market,beverlyhills,,239 North Crescent Drive,Beverly Hills,CA,90210,+1 310-274-3360
Whole Foods Market,brea,,3301 East Imperial Highway,Brea,CA,92823,+1 714-528-7400
Whole Foods Market,burbank,,3401 West Olive Avenue,Burbank,CA,91505,+1 818-239-5380
Whole Foods Market,campbell,,1690 South Bascom Avenue,Campbell,CA,95008,+1 408-371-5000
Whole Foods Market,capitola,,1710 41st Avenue,Capitola,CA,95010,+1 831-464-2900
Whole Foods Market,concord,,2085 Diamond Boulevard,Concord,CA,94520,+1 925-695-3180
Whole Foods Market,delmar,,2600 Via De La Valle,Del Mar,CA,92014,+1 858-436-9800
Whole Foods Market,dublin-ca,,5200 Dublin Boulevard,Dublin,CA,94568,+1 925-452-2226
Whole Foods Market,elsegundo,,760 South Sepulveda Boulevard,El Segundo,CA,90245,+1 310-333-1900
Whole Foods Market,folsom,,270 Palladio Parkway,Folsom,CA,95630,+1 916-984-8500
Whole Foods Market,fremont-ca,,3111 Mowry Avenue,Fremont,CA,94538,+1 510-401-5880
Whole Foods Market,fresno,,650 West Shaw Avenue,Fresno,CA,93740,+1 559-241-0300
Whole Foods Market,glendale,,331 North Glendale Avenue,Glendale,CA,91206,+1 818-548-3695
Whole Foods Market,huntingtonbeach,,7881 Edinger Avenue,Huntington Beach,CA,92647,+1 657-200-4200
Whole Foods Market,brookhurst,,10071 Adams Avenue,Huntington Beach,CA,92646,+1 714-594-6850
Whole Foods Market,irvine,,8525 Research Drive,Irvine,CA,92618,+1 949-777-8500
Whole Foods Market,lajolla,,8825 Villa La Jolla Drive,La Jolla,CA,92037,+1 858-642-6700
Whole Foods Market,lafayette,,3502 Mount Diablo Boulevard,Lafayette,CA,94549,+1 925-284-5305
Whole Foods Market,lagunabeach,,283 Broadway Street,Laguna Beach,CA,92651,+1 949-376-7888
Whole Foods Market,lagunaniguel,,23932 Aliso Creek Road,Laguna Niguel,CA,92677,+1 949-900-5830
Whole Foods Market,longbeachlakewood,,3881 Lakewood Boulevard,Long Beach,CA,90808,+1-562-548-1840
Whole Foods Market,longbeach,,6400 East Marina Drive,Long Beach,CA,90803,+1 562-598-8687
Whole Foods Market,losaltos,,4800 El Camino Real,Los Altos,CA,94022,+1 650-559-0300
Whole Foods Market,westwood,,1050 Gayley Avenue,Los Angeles,CA,90024,+1 310-824-0858
Whole Foods Market,downtownlosangeles,,788 South Grand Avenue,Los Angeles,CA,90017,+1 213-873-4745
Whole Foods Market,westlosangeles,,11666 National Boulevard,Los Angeles,CA,90064,+1 310-996-8840
Whole Foods Market,brentwood,,11737 San Vicente Boulevard,Los Angeles,CA,90049,+1 310-826-4433
Whole Foods Market,culvercity,,3377 La Cienega Boulevard,Los Angeles,CA,90016,+1 424-434-7960
Whole Foods Market,fairfax,,6350 West 3rd Street,Los Angeles,CA,90036,+1 323-964-6800
Whole Foods Market,silverlake,,2520 Glendale Boulevard,Los Angeles,CA,90039,+1 323-378-3891
Whole Foods Market,losgatos,,15890 Los Gatos Boulevard,Los Gatos,CA,95032,+1 408-358-4434
Whole Foods Market,malibu,,23401 Civic Center Way,Malibu,CA,90265,+1 424-425-7351
Whole Foods Market,millvalley,,414 Miller Avenue,Mill Valley,CA,94941,+1 415-381-1200
Whole Foods Market,blithedale,,731 East Blithedale Avenue,Mill Valley,CA,94941,+1 415-381-3900
Whole Foods Market,monterey,,800 Del Monte Center,Monterey,CA,93940,+1 831-333-1600
Whole Foods Market,napa,,3682 Bel Aire Plaza,Napa,CA,94558,+1 707-224-6300
Whole Foods Market,newport,,415 Newport Center Drive East,Newport Beach,CA,92660,+1 949-999-8572
Whole Foods Market,novato,,790 De Long Avenue,Novato,CA,94945,+1 415-878-0455
Whole Foods Market,temescal,,5101;5179;5199 Telegraph Avenue,Oakland,CA,94609,+1 510-903-2222
Whole Foods Market,oakland,,230 Bay Place,Oakland,CA,94612,+1 510-834-9800
Whole Foods Market,oxnard,,650 Town Center Drive,Oxnard,CA,93036,+1-805-751-4300
Whole Foods Market,palmdesert,,East Palm Canyon Drive,Palm Desert,CA,92260,+1 760-797-8200
Whole Foods Market,paloalto,,774 Emerson Street,Palo Alto,CA,94301,+1 650-326-8676
Whole Foods Market,pasadena,,3751 East Foothill Boulevard,Pasadena,CA,91107,+1 626-351-5994
Whole Foods Market,arroyo,,465 South Arroyo Parkway,Pasadena,CA,91105,+1 626-204-2266
Whole Foods Market,petaluma,,621 East Washington Street,Petaluma,CA,94952,+1 707-762-9352
Whole Foods Market,playavista,,12746 West Jefferson Boulevard,Playa Vista,CA,90094,+1 310-862-9900
Whole Foods Market,porterranch,,20209 Rinaldi Street,Porter Ranch,CA,91326,+1 818-363-3933
Whole Foods Market,redondobeach,,405 Pacific Coast Highway,Redondo Beach,CA,90277,+1 310-376-6931
Whole Foods Market,redwoodcity,,1250 Jefferson Avenue,Redwood City,CA,94062,+1 650-367-1400
Whole Foods Market,roseville,,1001 Galleria Boulevard,Roseville,CA,95678,+1 916-781-5300
Whole Foods Market,sacramento,,4315 Arden Way,Sacramento,CA,95864,+1 916-488-2800
Whole Foods Market,sandiego,,711 University Avenue,San Diego,CA,92103,+1 619-294-2800
Whole Foods Market,soma,,399 4th Street,San Francisco,CA,94107,+1 415-618-0066
Whole Foods Market,franklin,,1765 California Street,San Francisco,CA,94109,+1 415-674-0500
Whole Foods Market,ocean,,1150 Ocean Avenue,San Francisco,CA,94112,+1 415-333-7400
Whole Foods Market,2001marketstreet,,2001 Market Street,San Francisco,CA,94114,+1 415-626-1430
Whole Foods Market,potrerohill,,450 Rhode Island Street,San Francisco,CA,94107,+1 415-552-1155
Whole Foods Market,stonestown,,3251 20th Avenue,San Francisco,CA,94132,+1 415-375-4242
Whole Foods Market,noevalley,,3950 24th Street,San Francisco,CA,94114,+1 415-282-4700
Whole Foods Market,haightstreet,,690 Stanyan Street,San Francisco,CA,94117,+1 415-876-6740
Whole Foods Market,ALM,,777 The Alameda,San Jose,CA,95126,+1-408-207-1126
Whole Foods Market,blossomhill,,1146 Blossom Hill Road,San Jose,CA,95118,+1 408-266-3700
Whole Foods Market,sanluisobispo,,1531 Froom Ranch Way,San Luis Obispo,CA,93405,+1 805-785-0194
Whole Foods Market,sanmateo,,1010 Park Place,San Mateo,CA,94403,+1 650-358-6900
Whole Foods Market,sanrafael,,340 3rd Street,San Rafael,CA,94901,+1 415-451-6333
Whole Foods Market,ram,,100 Sunset Drive,San Ramon,CA,94583,+1 925-355-9000
Whole Foods Market,santabarbara,,3761 State Street,Santa Barbara,CA,93105,+1-805-837-6959
Whole Foods Market,santaclara,,2732 Augustine Drive,Santa Clara,CA,95054,+1 408-562-9162
Whole Foods Market,val,,24130 Valencia Boulevard,Santa Clarita,CA,91355,+1 661-260-2377
Whole Foods Market,santacruz,,911 Soquel Avenue,Santa Cruz,CA,95062,+1 831-426-9901
Whole Foods Market,santamonicapico,,2121 Cloverfield Boulevard,Santa Monica,CA,90404,+1 310-752-1155
Whole Foods Market,santamonica,,2201 Wilshire Boulevard,Santa Monica,CA,90403,+1 310-315-0662
Whole Foods Market,montanaave,,1425 Montana Avenue,Santa Monica,CA,90403,+1 310-576-4707
Whole Foods Market,coddingtown,,390 Coddingtown Mall,Santa Rosa,CA,95401,+1 707-542-7411
Whole Foods Market,santarosa,,1181 Yulupa Avenue,Santa Rosa,CA,95405,+1 707-575-7915
Whole Foods Market,sebastopol,,6910 McKinley Street,Sebastopol,CA,95472,+1 707-829-9801
Whole Foods Market,shermanoakseast,,12905 Riverside Drive,Sherman Oaks,CA,91423,+1 818-853-8600
Whole Foods Market,shermanoaks-west,,4520 Sepulveda Boulevard,Sherman Oaks,CA,91403,+1 818-382-3700
Whole Foods Market,sherman-oaks,,14311 Ventura Boulevard,Sherman Oaks,CA,91423,+1 818-528-8030
Whole Foods Market,sonoma,,201 West Napa Street,Sonoma,CA,95476,+1 707-938-8500
Whole Foods Market,southlaketahoe,,3600 Lake Tahoe Boulevard,South Lake Tahoe,CA,96150,+1 530-578-4555
Whole Foods Market,sunnyvale,,150 East McKinley Avenue,Sunnyvale,CA,94086,+1 408-419-1290
Whole Foods Market,thousandoaks,,740 North Moorpark Road,Thousand Oaks,CA,91360,+1 805-777-4730
Whole Foods Market,torrance,,2655 Pacific Coast Highway,Torrance,CA,90505,+1 310-257-8700
Whole Foods Market,tustin,,2847 Park Avenue,Tustin,CA,92782,+1 714-566-7650
Whole Foods Market,upland,,2153 West Baseline Road,Upland,CA,91784,+1 909-579-2670
Whole Foods Market,venice,,225 Lincoln Boulevard,Venice,CA,90291,+1 310-566-9480
Whole Foods Market,ygnaciovalleyroad,,2941 Ygnacio Valley Road,Walnut Creek,CA,94598,+1 925-269-9010
Whole Foods Market,walnutcreek,,1333 Newell Avenue,Walnut Creek,CA,94596,+1 925-274-9700
Whole Foods Market,westhollywood,,7871 Santa Monica Boulevard,West Hollywood,CA,90046,+1 323-848-4200
Whole Foods Market,woodlandhills,,21347 Ventura Boulevard,Woodland Hills,CA,91364,+1 818-610-0000
Whole Foods Market,roaringfork,,340 Reed Street,Basalt,CO,81621,+1 970-927-1500
Whole Foods Market,boulder,,2905 Pearl Street,Boulder,CO,80301,+1 303-545-6611
Whole Foods Market,bouldertablemesa,,695 South Broadway,Boulder,CO,80305,+1 303-376-6980
Whole Foods Market,idealmarket,,1275 Alpine Avenue,Boulder,CO,80304,+1 303-443-1354
Whole Foods Market,castlerock,,6384 Promenade Parkway,Castle Rock,CO,80108,+1 720-673-4700
Whole Foods Market,southglenn,,6853 South York Street,Centennial,CO,80122,+1-303-996-3660
Whole Foods Market,6670,,7635 North Academy Boulevard,Colorado Springs,CO,80920,+1-719-531-9999
Whole Foods Market,tamarac,,7400 East Hampden Avenue,Denver,CO,80231,+1 303-488-2000
Whole Foods Market,unionstation,,1757 Wewatta Street,Denver,CO,80202,+1 720-572-8800
Whole Foods Market,washingtonpark,,1111 South Washington Street,Denver,CO,80209,+1 303-733-6201
Whole Foods Market,idealmarketdenver,,900 East 11th Avenue,Denver,CO,80218,+1 720-643-1750
Whole Foods Market,cherrycreek,,2375 East 1st Avenue,Denver,CO,80206,+1 720-941-4100
Whole Foods Market,fortcollins,,2201 South College Avenue,Fort Collins,CO,80525,+1 970-267-9200
Whole Foods Market,frisco,,261 Lusher Court,Frisco,CO,80443,+1-970-668-9400
Whole Foods Market,coloradoblvd,,870 South Colorado Boulevard,Glendale,CO,80246,+1 303-691-0101
Whole Foods Market,highlandsranch,,9366 South Colorado Boulevard,Highlands Ranch,CO,80126,+1 303-470-6003
Whole Foods Market,belmar,,444 South Wadsworth Boulevard,Lakewood,CO,80226,+1-303-935-5000
Whole Foods Market,,,14225 West Colfax Avenue,Lakewood,CO,80401,+1-303-277-1339
Whole Foods Market,governorsranch,,5155 South Wadsworth Boulevard,Littleton,CO,80123,+1 303-586-5220
Whole Foods Market,longmont,,1250 South Hover Road,Longmont,CO,80501,+1 720-438-2550
Whole Foods Market,,,8665 Kings Point Way,Parker,CO,80138,
Whole Foods Market,superior,,303 Marshall Road,Superior,CO,80027,+1 720-274-1415
Whole Foods Market,bradburn,,4451 Main Street,Westminster,CO,80031,+1 303-439-7000
Whole Foods Market,avonvillage,,50 Climax Road,Avon,CT,06001,+1 860-777-2070
Whole Foods Market,danbury,,5 Sugar Hollow Road,Danbury,CT,06810,+1 203-730-0599
Whole Foods Market,darien,,150 Ledge Road,Darien,CT,06820,+1 203-662-0577
Whole Foods Market,fairfield,,350 Grasmere Avenue,Fairfield,CT,06824,+1 203-319-9544
Whole Foods Market,glastonbury,,55 Welles Street,Glastonbury,CT,06033,+1 860-652-9800
Whole Foods Market,greenwich,,90 East Putnam Avenue,Greenwich,CT,06830,+1 203-661-0631
Whole Foods Market,milford,,1686 Boston Post Road,Milford,CT,06460,+1 203-874-0883
Whole Foods Market,,,Evergreen Way,South Windsor,CT,06074,+1 860-474-4100
Whole Foods Market,,,Long Ridge Road,Stamford,CT,06905,
Whole Foods Market,westhartford,,50 Raymond Road,West Hartford,CT,06107,+1 860-523-8500
Whole Foods Market,bishopscorner,,340 North Main Street,West Hartford,CT,06117,+1 860-523-7174
Whole Foods Market,westport,,399 Post Road West,Westport,CT,06880,+1 203-227-6858
Whole Foods Market,pstreet,,1440 P Street Northwest,Washington,DC,20005,+1 202-332-4300
Whole Foods Market,tenley,,4530 40th Street Northwest,Washington,DC,20016,+1 202-237-5800
Whole Foods Market,hstreet,,600 H Street Northeast,Washington,DC,20002,+1 202-469-7410
Whole Foods Market,southcapitolhill,,101 H Street Southeast,Washington,DC,20003,+1 202-469-7280
Whole Foods Market,floridaavenue,,967 Florida Avenue Northwest,Washington,DC,20001,+1 202-519-3400
Whole Foods Market,historicwalterreed,,7150 12th Street Northwest,Washington,DC,20012,+1 202-846-6680
Whole Foods Market,gloverpark,,2323 Wisconsin Avenue Northwest,Washington,DC,20007,+1 202-747-5570
Whole Foods Market,foggybottom,,2201 I Street Northwest,Washington,DC,20037,+1 202-296-1660
Whole Foods Market,altamontesprings,,305 East Altamonte Drive,Altamonte Springs,FL,32701,+1 407-767-2100
Whole Foods Market,aventura,,21105 Biscayne Boulevard,Aventura,FL,33180,+1 305-682-4400
Whole Foods Market,westbocaraton,,9560 Glades Road,Boca Raton,FL,33434,+1 561-922-5977
Whole Foods Market,bocaraton,,1400 Glades Road,Boca Raton,FL,33431,+1 561-447-0000
Whole Foods Market,,,7395 Boynton Beach Boulevard,Boynton Beach,FL,33437,
Whole Foods Market,clearwater,,27001 US 19 North,Clearwater,FL,33761,+1 727-724-7100
Whole Foods Market,coralgables,,6701 Red Road,Coral Gables,FL,33143,+1 305-421-9421
Whole Foods Market,coralsprings,,810 University Drive,Coral Springs,FL,33071,+1 954-796-5800
Whole Foods Market,davie,,1903 South University Drive,Davie,FL,33324,+1 954-916-3000
Whole Foods Market,delraybeach,,680 Linton Boulevard,Delray Beach,FL,33444,+1 561-639-5701
Whole Foods Market,destin,,4402 Legendary Drive,Destin,FL,32541,+1 850-269-7400
Whole Foods Market,17thstreet,,501 Southeast 17th Street,Fort Lauderdale,FL,33316,+1 954-380-8440
Whole Foods Market,fortlauderdale,,2000 Federal Highway,Fort Lauderdale,FL,33304,+1 954-398-2000
Whole Foods Market,fortmyers,,6891 Daniels Parkway,Fort Myers,FL,33912,+1 239-935-6550
Whole Foods Market,gainesville,,3490 Southwest Archer Road,Gainesville,FL,32608,+1 352-244-8302
Whole Foods Market,jacksonville,,10601 San Jose Boulevard,Jacksonville,FL,32257,+1 904-288-1100
Whole Foods Market,jacksonvillebeach,,2050 3rd Street South,Jacksonville Beach,FL,32250,+1 904-685-7370
Whole Foods Market,downtownmiami,,299 Southeast 3rd Avenue,Miami,FL,33131,+1 305-995-0600
Whole Foods Market,dadeland,,7930 Southwest 104th Street,Miami,FL,33156,+1 305-969-5800
Whole Foods Market,,,2910 Biscayne Boulevard,Miami,FL,33137,+1-305-509-8200
Whole Foods Market,southbeach,,1020 Alton Road,Miami Beach,FL,33139,+1 305-532-1707
Whole Foods Market,naples,,9101 Strada Place,Naples,FL,34108,+1-239-552-5100
Whole Foods Market,northmiami,,12150 Biscayne Boulevard,North Miami,FL,33181,+1 305-892-5500
Whole Foods Market,orlando,,8003 Turkey Lake Road,Orlando,FL,32819,+1 407-355-7100
Whole Foods Market,palmbeachgardens,,11701 Lake Victoria Gardens Avenue,Palm Beach Gardens,FL,33410,+1 561-691-8550
Whole Foods Market,pembrokepines,,14956 Pines Boulevard,Pembroke Pines,FL,33027,+1 954-392-3500
Whole Foods Market,pompanobeach,,2411 North Federal Highway,Pompano Beach,FL,33062,+1 954-786-3500
Whole Foods Market,,,2035 Viera Boulevard,Rockledge,FL,32940,
Whole Foods Market,universitystation,,5298 University Parkway,Sarasota,FL,34243,+1 941-806-6130
Whole Foods Market,sarasota,,1451 1st Street,Sarasota,FL,34236,+1 941-316-4700
Whole Foods Market,tallahassee,,1817 Thomasville Road,Tallahassee,FL,32303,+1-850-513-4200
Whole Foods Market,midtowntampa,,3740 West Cypress Street,Tampa,FL,33607,+1 813-323-9466
Whole Foods Market,carrollwood,,3802 Northdale Boulevard,Tampa,FL,33624,+1 813-264-3600
Whole Foods Market,wellington,,2635 State Road 7,Wellington,FL,33414,+1 561-904-4000
Whole Foods Market,westpalmbeach,,1845 Palm Beach Lakes Boulevard,West Palm Beach,FL,33401,+1 561-471-3800
Whole Foods Market,winterparknorth,,1030 Orlando Avenue,Winter Park,FL,32789,+1 407-377-6040
Whole Foods Market,avalon,,2800 Old Milton Parkway,Alpharetta,GA,30009,+1 678-534-3138
Whole Foods Market,poncedeleon,,650 Ponce de Leon Avenue Northeast,Atlanta,GA,30308,+1 404-853-1681
Whole Foods Market,chamblee,,5001 Peachtree Boulevard,Atlanta,GA,30341,+1 470-552-0750
